rank_in_list,athlete_name,club_name,birth_year,venue_city,performance_raw
1,Karl Johan Rasmussen,Haugesund,1973,München,2:14:00
2,Egil Skarpsno,FIK Ren-Eng,1962,Pyongyang,2:26:03
3,Tor Erik Nyquist,IL i BUL,1967,Singapore,2:32:36
4,Knut Aalien,Ringerike FIK,1968,Jevnaker,2:32:42
5,Jan Helgesen,IL i BUL,1974,Drammen,2:33:43
6,Kristen Aaby,Modum FIK,1961,Jevnaker,2:34:22
7,Mons Bale,Balestrand IL,1955,Stockholm,2:35:31
8,Eiliv Gjesdal,SK Vidar,1970,New York,2:36:10
9,Runar Gilberg,SK Vidar,1965,Drammen,2:36:34
10,Tom Roger Tangen,Mosjøen FIK,1969,Berlin,2:36:54
11,Sture Grønli,TUIL,1970,London,2:37:12
12,Tommy Torgersen,Lørenskog FIL,1970,Amsterdam,2:37:21
13,Martin Kjäll-Ohlsson,NTNUI,1978,Aten,2:38:13
14,Mounir Benoumma,SK Vidar,1961,Tromsø,2:39:07
15,Jan Hoel,SK Vidar,1958,Drammen,2:39:15
16,Morten Tronbøl,Brane IL,1970,Berlin,2:39:17
17,Gjermund Sørstad,IF Sturla,1979,Amsterdam,2:39:41
18,Ingvar Grønseth,Fræna FIK,1971,Drammen,2:40:01
19,Asle Foss,Kvås IL,1963,Berlin,2:40:25
20,Helge Hafsås,Olden IL,1966,Jølster,2:40:39
21,Ove Talsnes,,,New York,2:41:08
22,Ole Kjell Langmyren,Gjensidige,1961,Frankfurt,2:41:15
23,Håvard Nordgård,IL i BUL,1961,Stockholm,2:42:05
24,Rune Fredriksen,Mandal IL,1960,Mandal,2:42:26
25,Jan Halland,Statkraft BIL,,Drammen,2:42:37
26,John Steinar Urne,Ask,1967,Drammen,2:42:45
27,Gudleik Husby,Stadsbygd,1971,Trondheim,2:43:30
28,Kjetil Ask,IL Brane,,Berlin,2:43:52
29,Nils Hætta,,1961,London,2:44:06
30,Dag Haugland,,,Paris,2:44:32
31,Vidar Nilsen,,1960,Drammen,2:44:41
32,Gløer Gløersen,Tønsberg FIK,1966,Drammen,2:45:11
33,Per Pharo,,,New York,2:46:47
34,Øystein Eriksen,Ask,1954,Drammen,2:46:49
35,Espen Stueland,Larkollen,,Drammen,2:46:52
36,Sverre Aksland,Stegaberg IL,1949,Praha,2:48:28
37,John Martin Andresen,Drøbak,1964,Drammen,2:48:31
38,Einar Jakobsen,Follo,1950,Drammen,2:48:38
39,Kjetil Kveli,IL i BUL,1956,Stockholm,2:48:55
40,Anders Tornensis,Kautokeino IL,1966,Helsinki,2:49:02
41,Reinhard Stoewe,TUIL,1959,Hadsel,2:49:24
42,Per Christian Mørk,,,Wien,2:49:25
43,Odd Gunnar Tveit,Birkenes IL,1964,Drammen,2:49:31
44,Erling Klev,MHIL,,Hamburg,2:49:45
45,Gjermund Sørstad,,,Ski,2:51:41
46,Kurt Hatten,,,Paris,2:52:16
47,Kjetil Ask,,,Stockholm,2:52:19
48,Bjørn Kvaal Hjermann,,,Drammen,2:52:34
49,Kjetil Havstein,,,Florø,2:52:43
50,Roy Benan,,,Drammen,2:52:48
51,Ola Bustad,,,Jessheim,2:52:50
52,Rune Byrkjeland,,,Stockholm,2:52:56
53,Bjørn Aanensen,,,Hamburg,2:53:16
54,Haavard Nordgård,,,Wien,2:53:32
55,Sverre Gunnar Brunstad,,,Drammen,2:53:45
56,Knut L Slartmann,,,Tromsø,2:54:02
57,Tom Rune Lian,,,Trondheim,2:54:20
58,Ole Petter Ringnes,,,Stockholm,2:54:21
59,Erling Klev,,,Hamburg,2:54:22
60,Bjørn Gjerde,,,Växjø,2:54:29
61,Truls Gundersen,,,Trondheim,2:54:34
62,Oddvar Hausken,,,Mandal,2:54:38
63,Tommy Aanensen,,,Hamburg,2:54:44
64,Anthony Amatucci,,,Drammen,2:54:47
65,Per Gunnar Alfheim,,,Hornindal,2:54:52
66,Ulf Jacobsen,,,Drammen,2:54:57
67,John Martin Andresen,,,Ski,2:55:04
68,Terje Steffensen,,,New York,2:55:12
69,Ivar Storvik,,,Drammen,2:55:47
70,Jan Erik Mortensen,,,New York,2:56:04
71,Trond Knapper,,,Jessheim,2:56:19
72,Bjørn Moløkken,,,Drammen,2:56:23
73,Bjørn Ivar Hage,,,Ski,2:56:27
74,Stein Aanensen,,,Hamburg,2:56:42
75,Bjørn-Tore Lunde,,,Jessheim,2:56:49
76,Torodd Lybeck,,,Rotterdam,2:56:50
77,Kåre Aanensen,,,Hamburg,2:56:53
78,Ole Petter Bergaust,,,Ski,2:56:59
79,Dag Jacobsen,,,Kongsvinger,2:57:12
80,Nils I Hætta,,,København,2:57:30
81,Keino Valstad,,,Drammen,2:57:32
82,Mons Bale,,,London,2:57:36
83,Tommy Bjørndalen,,,Stockholm,2:57:58
84,Jon Arild Sesseng,,,Jessheim,2:58:12
85,Jonhard Larsen,,,London,2:58:15
85,Geir Hansen,,,Stemshaug,2:58:15
87,Rolf Bakken,,,Ski,2:58:34
88,Odd Gunnar Tveit,,,Mandal,2:58:42
89,Per Jørgen Walstrøm,,,Drammen,2:58:49
90,Arne Aanensen,,,Hamburg,2:58:51
90,Robert Gulbrandsen,,,Jølster,2:58:51
92,Sten S Solfjeld,,,Trondheim,2:58:53
93,Ole Kristian Sørland,,,Jessheim,2:58:56
94,Sverre Sæbdal,,,Paris,2:59:05
95,Kjell Magnar Helland,,,Trondheim,2:59:35
96,Richard Wilhelmsen,,,Stockholm,2:59:31
97,Arvid Reiertsen,,,Paris,2:59:44
98,Rolf Sælen,,,Drammen,2:59:58
