rank_in_list,athlete_name,club_name,birth_year,venue_city,performance_raw
1,Terje Næss,SK Vidar,1961,Stockholm,2:20:08
2,Tor Erik Nyquist,Ull.-Kisa,1967,Mallorca,2:20:18
3,Petter Antonsen,SK Vidar,1961,Drammen,2:21:46
4,Eiliv Gjesdal,SK Vidar,1970,Drammen,2:22:57
5,Kristen Aaby,Gjesdal,1961,Drammen,2:24:13
6,Tor Fauske,SK Vidar,1963,Chicago,2:26:47
7,Egil Skarpsno,Ren-Eng,1962,Tromsø,2:26:51
8,Runar Gilberg,Ready,1965,Chicago,2:28:37
9,Knut Aalien,Ringerike,1968,Drammen,2:28:46
10,Helge Hafsås,Olden IL,1966,Jølster,2:31:11
11,Ola Indergaard,IF Hellas,1957,Drammen,2:34:16
12,Vidar Kalnes,Horten IF,1952,Drammen,2:34:22
13,Jan Hoel,SK Vidar,1958,London,2:34:53
14,Arild Tveiten,SK Vidar,1970,Drammen,2:35:49
15,Stein Roar Andersen,Varegg,1957,Drammen,2:36:44
16,Håvard Nordgård,IL i BUL,1961,New York,2:36:55
17,Dick Arvidsson,Fossum IF,1956,Drammen,2:36:58
18,Jan Erik Christiansen,BFG Fana,1972,Chicago,2:37:20
19,Arve Stavø,Strindheim IL,1958,Trondheim,2:38:23
20,Jon Gjeilo,Lom IL,1962,Drammen,2:38:24
21,Tore Bjerkrheim,Bromma IL,1963,Drammen,2:39:24
22,Bjarte Langeland,IL Skjalg,1965,Frankfurt,2:39:32
23,Edgar Johansen,Kvæfjord IL,1958,Drammen,2:40:11
24,Rune Tyssedal,Indre Arna,1963,Hitra,2:40:13
25,Odd Gunnar Tveit,Birkenes IL,1964,Drammen,2:40:22
26,Ole Arne Schlytter,Lørenskog IF,1960,Drammen,2:40:25
27,Didrik Grønvold,Stabæk IF,1960,Drammen,2:40:30
28,Øystein R. Johansen,Halden,1960,Drammen,2:40:40
29,Ingvar Grønseth,Fræna FIK,1971,Drammen,2:40:57
30,Tommy Torgersen,Lørenskog FIL,1970,New York,2:42:15
31,Aage Odfjell,IL Norna-Salhus,1946,Berlin,2:42:18
32,Rune Fredriksen,Mandal & Halse,1960,Mandal,2:42:38
33,Heming Leira,IL i BUL,1960,Drammen,2:42:52
34,Bjørn Aanensen,Mandal & Halse IL,1955,Mandal,2:43:02
35,Bent Ove Berntsen,Gjesdal IL,1962,New York,2:43:07
36,Morten Rønning,Skjalg,1960,Frankfurt,2:44:25
37,Martin Seierstad,IL Driv,1969,Drammen,2:44:27
37,Ole-Tom Amlien,Hadeland,1963,Drammen,2:44:27
39,Arild Johnsen,Helling,,Drammen,2:44:40
40,Bjørnar Andersen,Stovnerkam.,1963,Jessheim,2:44:53
41,Arne Hugo Hansen,Tromsø,1955,London,2:45:30
42,Arne Øvergård,Øverbygd,1953,Wroclaw,2:45:42
43,Ivar Hansen,Bergen,,Stockholm,2:45:43
44,Knut Hegvold,Heimdal IF,1961,Frankfurt,2:45:50
45,John Martin Andresen,Follo,1964,Drammen,2:46:06
46,Stig Morten Moen,Øvre Årdal,1972,Drammen,2:46:26
47,Birger Haug,Oslo Politis IL,1951,Drammen,2:47:01
48,Hans Jørgen Baglo,TVK,1972,Stemshaug,2:47:03
49,Nicolai Heilemann,OSI,1973,Nordmarka,2:47:16
50,Fredrik Skattekjær,Haugesund,1955,London,2:47:23
51,Bjørn Reitan,Tromsdalen,1958,Tromsø,2:47:24
52,Helge Johansen,Strindheim IL,1969,Oslo,2:47:54
53,Sten S. Solfjeld,Hadeland FIK,1950,Drammen,2:48:10
54,Kjetil Kveli,IL i BUL,1956,New York,2:48:12
55,Oddvar Hausken,Torvastad IL,1942,Drammen,2:48:16
56,Hallgeir Hansen,Bryne FIK,1955,Mandal,2:48:59
57,Frank-Tore Berntsen,Veldre IL,1968,Nordmarka,2:49:15
58,Thomas Holm,Oppegård IL,1975,Drammen,2:49:20
59,Stein Hermansen,Rana FIK,,Drammen,2:49:41
60,Sverre Aksland,Stegaberg IL,1949,Drammen,2:49:44
61,Bjørn E. Eide,Øystre Slidre IL,1956,Beito,2:49:44
62,Bjørn Gjerde,IL i BUL,1955,Drammen,2:49:55
