rank_in_list,athlete_name,club_name,birth_year,venue_city,performance_raw
1,Karl Johan Rasmussen,Haugesund IL,1973,Paris,2:16:00
2,Kristen Aaby,SK Vidar,1961,Ski,2:29:55
3,Egil Skarpsno,FIK Ren-Eng,1962,Tromsø,2:30:25
4,Dag Haugland,Varegg,1960,Paris,2:32:22
5,Gudmund Høst,Heming,1960,Ski,2:33:03
6,Mounir Benoumma,SK Vidar,1961,Ski,2:33:19
7,Alemayehu Sitotaw,,1962,Berlin,2:33:22
8,Tommy Torgersen,Lørenskog FIL,1970,Hamburg,2:36:02
9,Jan Helgesen,IL i BUL,1974,Ski,2:36:24
10,Kjell Raa,BFG Fana,1963,Amsterdam,2:36:28
11,Helge Hafsås,Olden IL,1966,Bergen,2:36:54
12,Knut Aalien,Ringerike FIK,1968,Beito,2:38:19
13,Morten Tronbøl,Bøler IL,1970,Ski,2:38:31
14,John Steinar Urne,Ask IL,1967,Drammen,2:38:39
15,Runar Gilberg,SK Vidar,1965,Ski,2:39:30
16,Jan Inge Dahl,Mehamn,1960,Drammen,2:40:02
17,Ole Kjell Langmyren,Gjensidige,1961,Berlin,2:40:19
18,Anders Tornensis,Gular,1966,Ski,2:41:00
19,Espen Stueland,Larkollen,1970,Stockholm,2:42:29
20,Terje Hole,Åndalsnes IL,1961,Nordmarka,2:43:05
21,Charles Christiansen,Posten IL,1955,Hadsel,2:43:20
22,Jan Halland,Statkraft,1965,Ski,2:43:31
23,Per Kristian Mørk,IK Tjalve,1965,Boston,2:43:49
24,Arne Stavø,Strindheim IL,1958,Spitsbergen,2:43:57
25,Asle Foss,Kvås IL,1963,Hamburg,2:44:24
26,Jan Birger Hansen,Avaldsnes IL,1958,Mandal,2:44:59
27,Nils Hetleflåt,,1968,Stockholm,2:45:07
28,Ross Wakelin,Tistedalen,1963,Hadsel,2:45:22
29,Jan Hoel,SK Vidar,1958,Beito,2:46:13
30,Vidar Nilsen,Norges Bank,1960,Drammen,2:46:26
31,Håkon Sverre Høst,Lyn,1956,Ski,2:46:39
32,Torfinn Torp,Vestby IL,1952,Ski,2:47:42
33,Kjetil Lothe,Stegaberg IL,1977,Ski,2:47:47
34,Reidar Matre,Conoco BIL,1955,Drammen,2:47:57
35,Sverre Aksland,Stegaberg IL,1949,Ski,2:48:05
36,Jan Tore Paulsen,Bjerkreim IL,1973,Stavanger,2:49:22
37,Arne Håkon Vik,,,Drammen,2:50:01
38,Patrick Åserud,,,Jessheim,2:50:34
39,Fredrik Skattkjær,,,Paris,2:50:41
40,Ole Arne Schlytter,,,Trondheim,2:50:42
41,Per Olav Bøyum,,,Bergen,2:50:44
42,Kåre Hansen,,,Tromsø,2:51:02
43,Børre Tollefsen,,,Ski,2:51:18
44,Lars Bjarne Reed,,,Nordmarka,2:51:25
45,Gjermund Sørstad,,,Ski,2:51:41
46,Kurt Hatten,,,Paris,2:52:16
47,Kjetil Ask,,,Stockholm,2:52:19
48,Bjørn Kvaal Hjermann,,,Drammen,2:52:34
49,Kjetil Havstein,,,Florø,2:52:43
50,Roy Benan,,,Drammen,2:52:48
51,Ola Bustad,,,Jessheim,2:52:50
52,Rune Byrkjeland,,,Stockholm,2:52:56
53,Bjørn Aanensen,,,Hamburg,2:53:16
54,Haavard Nordgård,,,Wien,2:53:32
55,Sverre Gunnar Brunstad,,,Drammen,2:53:45
56,Knut L Slartmann,,,Tromsø,2:54:02
57,Tom Rune Lian,,,Trondheim,2:54:20
58,Ole Petter Ringnes,,,Stockholm,2:54:21
59,Erling Klev,,,Hamburg,2:54:22
60,Bjørn Gjerde,,,Växjø,2:54:29
61,Truls Gundersen,,,Trondheim,2:54:34
62,Oddvar Hausken,,,Mandal,2:54:38
63,Tommy Aanensen,,,Hamburg,2:54:44
64,Anthony Amatucci,,,Drammen,2:54:47
65,Per Gunnar Alfheim,,,Hornindal,2:54:52
66,Ulf Jacobsen,,,Drammen,2:54:57
67,John Martin Andresen,,,Ski,2:55:04
68,Terje Steffensen,,,New York,2:55:12
69,Ivar Storvik,,,Drammen,2:55:47
70,Jan Erik Mortensen,,,New York,2:56:04
71,Trond Knapper,,,Jessheim,2:56:19
72,Bjørn Moløkken,,,Drammen,2:56:23
73,Bjørn Ivar Hage,,,Ski,2:56:27
74,Stein Aanensen,,,Hamburg,2:56:42
75,Bjørn-Tore Lunde,,,Jessheim,2:56:49
76,Torodd Lybeck,,,Rotterdam,2:56:50
77,Kåre Aanensen,,,Hamburg,2:56:53
78,Ole Petter Bergaust,,,Ski,2:56:59
79,Dag Jacobsen,,,Kongsvinger,2:57:12
80,Nils I Hætta,,,København,2:57:30
81,Keino Valstad,,,Drammen,2:57:32
82,Mons Bale,,,London,2:57:36
83,Tommy Bjørndalen,,,Stockholm,2:57:58
84,Jon Arild Sesseng,,,Jessheim,2:58:12
85,Jonhard Larsen,,,London,2:58:15
85,Geir Hansen,,,Stemshaug,2:58:15
87,Rolf Bakken,,,Ski,2:58:34
88,Odd Gunnar Tveit,,,Mandal,2:58:42
89,Per Jørgen Walstrøm,,,Drammen,2:58:49
90,Arne Aanensen,,,Hamburg,2:58:51
90,Robert Gulbrandsen,,,Jølster,2:58:51
92,Sten S Solfjeld,,,Trondheim,2:58:53
93,Ole Kristian Sørland,,,Jessheim,2:58:56
94,Sverre Sæbdal,,,Paris,2:59:05
95,Kjell Magnar Helland,,,Trondheim,2:59:35
96,Richard Wilhelmsen,,,Stockholm,2:59:31
97,Arvid Reiertsen,,,Paris,2:59:44
98,Rolf Sælen,,,Drammen,2:59:58
