rank_in_list,athlete_name,club_name,birth_year,venue_city,performance_raw
1,Tesfaye Bekele,IK Tjalve,1971,Houston,2:15:43
2,Tor Erik Nyquist,Ull.-Kisa IL,1967,Berlin,2:21:39
3,Terje Næss,SK Vidar,1961,Drammen,2:21:59
4,Knut Aalien,Ringerike FIK,1968,Drammen,2:22:08
5,Knut Hegvold,Heimdal IF,1961,Roma,2:24:42
6,Egil Skarpsno,FIK Ren-Eng,1962,Pyong Yang,2:28:40
7,Helge Hafsås,Olden IL,1966,Drammen,2:31:02
8,Gjermund Hanssen,Ås IL,,Tromsø,2:32:43
9,Terje Olsen,Heimdal IF,1967,Los Angeles,2:33:26
10,Sture Grønli,Tromsdalen UIL,,Drammen,2:36:02
11,Kristen Aaby,Gjesdal,1961,Beito,2:37:32
12,Ingvar Grønseth,Fræna FIK,1971,Drammen,2:37:45
12,Erling Schjetne,,1967,Stockholm,2:37:45
14,Aage Odfjell,IL Norna-Salhus,1946,Berlin,2:37:48
15,Håkon Hjemly,Tønsberg FIK,1970,Jevnaker,2:38:52
16,Jan Hoel,SK Vidar,1958,Drammen,2:39:13
17,Runar Gilberg,Ready,1965,Nordmarka,2:39:49
18,Ola Indergaard,IF Hellas,1957,Drammen,2:40:07
19,Trond Iversen,Henning,,Drammen,2:41:50
20,Wiktor Berg,Sveio IL,1959,Drammen,2:42:09
21,Morten Rønning,Skjalg,1960,Drammen,2:42:27
22,Arve Stavø,Strindheim IL,1958,Trondheim,2:42:38
23,Tommy Torgersen,Lørenskog FIL,1970,Berlin,2:42:45
24,Reinhard Stoewe,Sandness. IL,1959,Trondheim,2:43:10
25,Jan Inge Dahl,Mehavn,1960,Drammen,2:43:19
26,Morten Tronbøl,,1970,Drammen,2:43:23
27,Heming Leira,IL i BUL,1960,Drammen,2:43:40
28,Oddvar Karlsen,,1958,Rotterdam,2:43:43
29,Per Magne Siraas,Selbu IL,1942,Drammen,2:44:06
30,Kjetil Kveli,IL i BUL,1956,New York,2:44:14
31,Bjørn Aanensen,Mandal & Halse IL,1955,Hamburg,2:44:33
32,Bjørn E. Eide,Øystre Slidre IL,1956,Trinidad,2:44:38
33,Jan Halland,Noreverkene BIL,,Kongsvinger,2:45:09
34,Arild Johnsen,Helling Dream T.,1971,Oslo,2:45:27
35,Odd Gunnar Tveit,Birkenes IL,1964,Mandal,2:45:40
36,Sverre Aksland,Stegaberg IL,1949,London,2:46:25
37,Gudleik Husby,Stadsbygd,1971,Oslo,2:46:29
38,Jan Birger Hansen,,1958,Berlin,2:47:27
39,Espen Kristiansen,,1982,Oslo,2:47:37
40,Jan Helgesen,IL i BUL,,Nordmarka,2:47:47
41,Fredrik Skattekjær,Haugesund,1955,London,2:47:54
42,Roger Gjøvåg,,,New York,2:47:59
43,Charles Christiansen,,1955,Oslo,2:48:04
44,John Martin Andresen,Follo,1964,Drammen,2:48:58
45,Arne-Håkon Vik,TFL Halden,1959,Borlänge,2:49:01
46,Einar Jakobsen,,,Wien,2:49:06
47,Gløer Gløersen,Tønsberg FIK,1966,Oslo,2:49:15
47,Sten Solfjeld,Hadeland FIK,1950,Stockholm,2:49:15
49,Geir Lunde,,,London,2:49:39
50,John Steinar Urne,,1967,Drammen,2:49:54
